Ticker,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,USDT-USD,USDT-USD,USDT-USD,USDT-USD,USDT-USD,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD,SOL-USD,SOL-USD,SOL-USD,SOL-USD,SOL-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-11,370.9284362792969,377.2467956542969,369.8280334472656,375.1420593261719,12584512533,1.0009310245513916,1.0012609958648682,1.0005110502243042,1.0007339715957642,36190854082,0.00266700005158782,0.002706000115722418,0.0026489999145269394,0.0026740001048892736,107632465,2.407366991043091,2.457566022872925,2.344921112060547,2.4265780448913574,7170647,11296.08203125,11428.8134765625,11288.6279296875,11384.181640625,19968627060
2020-10-12,374.7987365722656,395.1221618652344,366.642333984375,387.73126220703125,15867455424,1.0007840394973755,1.001315951347351,1.0005979537963867,1.0013020038604736,45422749776,0.0026740001048892736,0.002707999898120761,0.0026289999950677156,0.0026730000972747803,101246789,2.426115036010742,2.698638916015625,2.4158620834350586,2.5870718955993652,12289969,11392.6357421875,11698.4677734375,11240.6865234375,11555.36328125,26163972642
2020-10-13,387.1429443359375,387.37567138671875,375.58245849609375,381.1907653808594,14226744838,1.0012999773025513,1.0013580322265625,1.0008410215377808,1.0011110305786133,41852256541,0.00266700005158782,0.00267699989490211,0.002626999979838729,0.002635000040754676,76963142,2.5848910808563232,2.5848910808563232,2.3481709957122803,2.404910087585449,11415737,11548.7197265625,11548.984375,11321.224609375,11425.8994140625,24241420251
2020-10-14,381.9714660644531,387.2961730957031,374.1750183105469,379.4840393066406,13918846567,1.0011030435562134,1.0013240575790405,1.0007660388946533,1.0010069608688354,42676684541,0.0026340000331401825,0.002652999944984913,0.0026179999113082886,0.0026370000559836626,87293434,2.408195972442627,2.4366140365600586,2.2462570667266846,2.3146350383758545,9436239,11429.0478515625,11539.9775390625,11307.8310546875,11429.5068359375,24103426719
2020-10-15,379.1922302246094,381.2087707519531,371.3541259765625,377.44183349609375,14964182545,1.0009959936141968,1.0011579990386963,1.0006860494613647,1.0007959604263306,40681227712,0.0026499999221414328,0.002650999929755926,0.0025690000038594007,0.002592999953776598,83794207,2.3148000240325928,2.3357961177825928,2.203418016433716,2.2664361000061035,8332483,11426.6025390625,11569.9140625,11303.603515625,11495.349609375,24487233058
2020-10-16,377.8684997558594,380.0215148925781,362.597412109375,366.22900390625,14670784817,1.000849962234497,1.0011130571365356,1.0005669593811035,1.0010470151901245,42355198410,0.0025949999690055847,0.002615999896079302,0.0025569999124854803,0.002612000098451972,117882236,2.265199899673462,2.2656710147857666,2.1279211044311523,2.149385929107666,13637728,11502.828125,11540.0615234375,11223.0126953125,11322.123046875,25635480772
2020-10-17,366.0157165527344,369.76812744140625,364.489013671875,368.8559265136719,10951115359,1.000920057296753,1.0012710094451904,1.0006059408187866,1.0006970167160034,31063236700,0.0026030000299215317,0.002612000098451972,0.0025730000343173742,0.002581000095233321,125692391,2.1456360816955566,2.23830509185791,2.13240909576416,2.201843023300171,6612612,11322.123046875,11386.26171875,11285.345703125,11358.1015625,19130430174
2020-10-18,368.7275390625,378.59765625,368.129150390625,378.21368408203125,11047103109,1.0007150173187256,1.0009440183639526,1.0006029605865479,1.0007840394973755,29893695719,0.002581000095233321,0.002601000014692545,0.0025770000647753477,0.0025859999004751444,72298803,2.2027499675750732,2.2488460540771484,2.1783270835876465,2.2142670154571533,6294162,11355.982421875,11483.359375,11347.578125,11483.359375,18283314340
2020-10-19,378.4696350097656,383.3176574707031,373.7022705078125,379.93560791015625,12811242092,1.0007740259170532,1.0010679960250854,1.0003759860992432,1.0008529424667358,35567986142,0.0025949999690055847,0.002618999918922782,0.002572000026702881,0.002589999930933118,91049562,2.213371992111206,2.2135119438171387,2.053210973739624,2.058079957962036,8248860,11495.0380859375,11799.0927734375,11408.2900390625,11742.037109375,23860769928
2020-10-20,379.7196960449219,380.7610168457031,367.60107421875,369.13690185546875,13741586582,1.0007840394973755,1.0011210441589355,1.0004609823226929,1.000985026359558,43872844120,0.002589999930933118,0.0026229999493807554,0.002581000095233321,0.002601000014692545,65577101,2.0581018924713135,2.0978610515594482,1.8541539907455444,1.8886719942092896,13129043,11745.974609375,11999.91796875,11681.48046875,11916.3349609375,30915821592
2020-10-21,369.0594177246094,400.62725830078125,368.72796630859375,392.1899719238281,20241324322,1.000978946685791,1.002153992652893,1.000741958618164,1.0018340349197388,60904084735,0.0026000000070780516,0.0026569999754428864,0.0025939999613910913,0.002630000002682209,45017115,1.8886120319366455,2.0662059783935547,1.8612350225448608,1.8903779983520508,19275509,11913.0771484375,13184.56640625,11900.9287109375,12823.689453125,43414712626
2020-10-22,391.4886169433594,420.14166259765625,391.27630615234375,413.7729797363281,15772846485,1.0019229650497437,1.0020029544830322,1.0008269548416138,1.0010910034179688,51457694149,0.002626999979838729,0.0026889999862760305,0.002623999956995249,0.0026549999602138996,44976453,1.8903720378875732,2.0824339389801025,1.8898169994354248,1.9556529521942139,11445663,12801.6357421875,13161.59375,12717.09375,12965.8916015625,34729759598
2020-10-23,414.05133056640625,418.9599304199219,403.08203125,409.7666931152344,14256222052,1.0010689496994019,1.0012849569320679,1.0004680156707764,1.0006569623947144,45364336403,0.0026489999145269394,0.0026910000015050173,0.0026370000559836626,0.0026469998992979527,46856082,1.9570679664611816,1.9847710132598877,1.853309988975525,1.960034966468811,11497445,12971.548828125,13015.9619140625,12752.6474609375,12931.5390625,28974975003
